150	285
0	22
0	120
0	24
0	61
1	42
1	73
1	137
1	139
2	17
2	87
2	22
3	34
3	90
3	117
4	71
4	95
5	98
5	143
6	25
6	85
6	89
6	42
6	90
6	142
7	129
7	16
7	20
7	109
8	14
8	122
8	137
8	60
8	117
9	133
9	64
10	94
10	124
10	71
11	29
11	46
11	32
12	91
12	137
12	85
13	70
13	49
13	110
13	34
13	33
14	75
14	50
15	139
15	88
15	65
16	59
17	119
17	81
18	78
18	76
18	19
19	131
19	146
19	106
20	125
20	105
20	82
21	106
21	45
22	83
22	134
23	37
23	84
23	115
23	107
24	72
24	113
24	149
24	124
24	40
24	117
25	122
26	30
26	112
26	65
27	63
27	57
27	129
27	141
27	94
28	114
28	32
29	53
29	39
29	81
29	57
30	113
30	149
30	83
30	45
31	43
31	54
31	38
32	75
32	93
33	145
33	67
33	49
34	59
35	57
36	120
36	52
36	126
36	76
37	103
38	76
38	68
39	67
39	94
39	47
39	106
39	78
40	149
40	109
40	53
40	146
40	145
41	61
41	125
41	88
41	90
42	47
43	141
43	137
44	116
44	135
45	116
45	118
46	108
46	59
46	103
47	79
47	109
48	109
48	66
48	68
49	142
49	105
50	52
50	114
50	90
50	148
51	65
51	127
52	67
52	137
53	81
53	135
53	105
54	111
54	142
55	82
55	147
55	102
56	73
56	118
56	105
56	72
57	121
58	110
58	106
58	79
58	59
58	131
58	124
59	80
60	130
60	81
60	73
61	123
61	125
61	114
62	146
62	136
63	80
64	82
64	67
64	110
65	137
65	86
66	77
66	116
66	123
66	80
66	117
66	119
66	81
68	100
68	117
68	106
69	102
69	101
69	124
70	85
71	142
71	132
71	103
72	105
74	124
74	144
74	119
75	126
77	139
78	86
78	115
78	90
79	99
80	92
80	124
81	117
83	144
84	99
84	126
85	113
85	124
86	104
87	104
87	144
87	126
88	96
89	118
89	129
90	131
91	101
91	96
92	107
92	113
93	132
93	134
93	107
94	103
95	119
95	135
95	106
95	140
96	97
96	107
97	133
98	117
98	120
99	103
100	141
100	113
102	115
103	111
107	121
107	110
108	149
110	141
110	144
111	137
112	126
112	120
113	119
113	117
115	138
115	126
117	140
118	127
119	140
119	133
121	127
123	134
124	139
124	147
125	137
126	128
127	144
128	140
130	148
132	147
132	144
135	138
136	148
140	142
143	145
